WKT,direccion,barrio,comuna,materiales,mas_info
POINT (-58.4754867353077 -34.5724207646958),DONADO 2150,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4805191159133 -34.5668943648989),DONADO 2764,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4787701121425 -34.5671353702272),HOLMBERG 2695,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4803835622024 -34.5653172136432),HOLMBERG 2887,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4716845095251 -34.5574104918606),IBERA 3193,COGHLAN,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4828903398868 -34.5586842393037),NUÑEZ 4147,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4800985220484 -34.5571233256998),NUÑEZ 3831,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4743476892586 -34.5550264770175),AZURDUY JUANA 3275,COGHLAN,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4756674760359 -34.5557380612851),AZURDUY JUANA 3411,COGHLAN,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4775409934635 -34.5558070003375),NUÑEZ 3554,COGHLAN,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4748049792103 -34.5530843178078),PINTO 3583,COGHLAN,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4762966749515 -34.5547244252853),CONDE 3522,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4821734108304 -34.5572149461573),ESTOMBA 3574,SAAVEDRA,12,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.492224240212 -34.5587848295395),VALDENEGRO 3835,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4911634032151 -34.5603805475264),VALDENEGRO 3670,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.484459346693 -34.5558661558112),TRONADOR 3720,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4830331021888 -34.5555549260752),JARAMILLO 3976,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4826984788574 -34.5520755576767),PAROISSIEN 3731,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4761247680897 -34.5513549626785),PINTO 3747,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4723376213672 -34.5503051898029),VIDAL 3677,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4711217199511 -34.5493327482802),JARAMILLO 2660,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4694334719457 -34.5483928554924),GARCIA DEL RIO AV. 2441,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4743059564014 -34.5483273982761),PAROISSIEN 2861,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4733432678628 -34.5471108987266),VILELA 2720,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4725411962116 -34.54822174348),MOLDES 3860,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4709815170452 -34.5465646642412),CIUDAD DE LA PAZ 3880,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4720820100528 -34.5453171854549),SAN ISIDRO LABRADOR AV. 4233,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4755473013679 -34.54594773605),RUIZ HUIDOBRO 2762,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4738195593839 -34.5456315317313),MOLDES 4180,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4765247381443 -34.5448174648158),CRAMER 4348,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4741587780499 -34.5444248344809),CORREA 2575,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4763785016404 -34.542538837239),VIDAL 4587,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.474051637516 -34.5430345356591),SAN ISIDRO LABRADOR AV. 4550,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4727404316555 -34.5559104497766),PINTO 3257,COGHLAN,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4867473441098 -34.5578044335664),DONADO 3671,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4813483083052 -34.5547577014371),WASHINGTON 3699,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4796989221774 -34.5538234389969),JARAMILLO 3610,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4294664347551 -34.6212290562161),SENILLOSA 425,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4297228361319 -34.6170310245171),SENILLOSA 93,CABALLITO,6,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4287426623647 -34.617911054366),LA PLATA AV. 271,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4282877417226 -34.6201161491298),LA PLATA AV. 451,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4386229749994 -34.6177306630268),YERBAL 525,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4400826104424 -34.6183974102221),YERBAL 653,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4393339348999 -34.6154283103319),HIDALGO 334,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4524294069756 -34.6079425403329),PUJOL 1275,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4546178357945 -34.6058398515872),PUJOL 1502,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4566867628063 -34.6126795192543),GAONA AV. 2067,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4591589535347 -34.6056142152732),FRAGATA PRES. SARMIENTO 1681,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4312491297838 -34.6175628121337),CHACO 178,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4325521540841 -34.6164712568369),RIVADAVIA AV. 4785,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4318766927349 -34.6157044341677),OTAMENDI 48,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4391053943158 -34.6167514741351),BACACAY 625,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4521901765384 -34.6066986922928),CUCHA CUCHA 1380,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4862838694171 -34.5727012980271),DIAZ COLODRERO 2527,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4854865028324 -34.5698838979286),ALVAREZ THOMAS AV. 3456,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4852476843778 -34.5740416750591),DIAZ COLODRERO 2365,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4809329438569 -34.5732006272182),ALVAREZ THOMAS AV. 2933,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4822846002797 -34.5735719293502),FERNANDEZ BLANCO 2368,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4832288128349 -34.5725843657833),MONROE 4846,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4853132887234 -34.5678040971659),VALDENEGRO 2910,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4835357875166 -34.5666324203737),LUGONES 2952,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4819748119233 -34.5683931494545),LUGONES 2724,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4823262593232 -34.5694634443031),MILLER 2679,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4837977495693 -34.5678033823349),MILLER 2851,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4840021626921 -34.5692824493555),VALDENEGRO 2750,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4812148742102 -34.5699247645757),ROOSEVELT FRANKLIN D. 4550,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4778597779494 -34.5694132645332),MONROE 4286,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4795264131637 -34.5702429310757),MONROE 4447,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4787871877626 -34.5719940023736),LUGONES 2320,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4804354771321 -34.5716046973205),MILLER 2445,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4762983576533 -34.5708670890391),OLAZABAL AV. 4189,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4772965749864 -34.5673415552571),PLAZA 2604,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4758797957767 -34.5666172937594),ROOSEVELT FRANKLIN D. 3983,COGHLAN,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4784461288904 -34.5652224447009),NAHUEL HUAPI 4015,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4760471892669 -34.5687017223266),PLAZA 2474,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4743205844753 -34.5704875322135),PLAZA 2246,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4729633773137 -34.5720891229715),PLAZA 2074,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4728869384186 -34.5730334040781),ECHEVERRIA 4110,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4725427039566 -34.5708291790821),TRONADOR 2137,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4820045761137 -34.5715381118424),VALDENEGRO 2506,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4490418406134 -34.5627481299131),3 DE FEBRERO 1729,BELGRANO,13,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
